roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
5,83,12.35,-0.7,-77.5073827990624,42.8752382092578,-120.4,0.0220000000000056,10.7612229264846
5,84,12.5,-0.7,-76.7736301904231,43.4997483158492,-123.2,2.04100000000001,11.0443517179349
5,85,12.65,-0.7,-76.4322482201073,45.8952992481828,-115.6,6.28500000000001,11.3193046103657
5,86,12.8,-0.7,-75.9660824966161,42.8853661169945,-122.6,0,11.5859172985491
5,87,12.95,-0.7,-77.5635308572991,43.1564307469898,-126,2.696,11.8442311939362
6,68,10.1,-0.85,-77.0251563617197,41.8309784131166,-114,5.667,14.5428412744168
6,69,10.25,-0.85,-76.0280016450293,42.9362924176352,-117,7.755,14.3369468126403
6,70,10.4,-0.85,-76.3586019032103,42.9737694828171,-119.2,9.054,14.1177366813447
6,71,10.55,-0.85,-75.2059733532679,43.7726421106209,-111,0.0379999999999967,13.873241857472
6,72,10.7,-0.85,-76.8805922755963,45.133836113622,-108.2,3.71799999999999,13.6211319853675
6,73,10.85,-0.85,-76.9673296129707,45.1552856350963,-112.8,0.0120000000000005,13.3624205260427
6,74,11,-0.85,-76.5572107559975,44.6061536102271,-118.2,4.553,13.0980968134018
6,75,11.15,-0.85,-75.5750828345563,44.3215467115926,-114.4,0.0949999999999989,12.8290701857263
6,76,11.3,-0.85,-76.9897226652078,44.9904238367367,-115.4,0.0679999999999978,12.5493996681783
6,77,11.45,-0.85,-76.5144465977383,45.1933274642331,-116.2,0.0429999999999922,12.25660489213
6,78,11.6,-0.85,-76.2578979512194,46.9142458809524,-123,6.03,11.9617154662167
6,79,11.75,-0.85,-76.899066693528,45.4638498455868,-124.8,7.027,11.6653509479413
6,80,11.9,-0.85,-77.6204919881534,43.9517869127269,-118.6,0.0370000000000061,11.3681985972494
6,81,12.05,-0.85,-77.1205955969531,45.6984337840886,-127.4,8.05799999999999,11.0707942712002
6,82,12.2,-0.85,-76.4938165159566,45.9989459231144,-120.2,0.0910000000000082,10.7716901961147
6,83,12.35,-0.85,-75.780394781318,44.5937742941057,-124.2,3.33600000000001,10.9313915304664
6,84,12.5,-0.85,-76.5611678839296,44.1457041837008,-123,1.39200000000001,11.2145205279448
6,85,12.65,-0.85,-75.2980848989055,44.4382803026894,-127.8,5.461,11.4890838819871
6,86,12.8,-0.85,-76.6597920612265,44.0777232688459,-115.6,7.46000000000001,11.7550006897765
6,87,12.95,-0.85,-75.6693377444167,42.9701655621135,-123.8,0.0320000000000107,12.0122459182829
6,88,13.1,-0.85,-77.4599742824567,41.9895791187238,-137,12.535,12.26081094411
7,66,9.8,-1,-77.283835995926,38.4024406131198,-119.8,13.037,14.8660514676885
7,67,9.95,-1,-77.2581326137094,38.1772707561785,-117.4,9.693,14.676626429356
7,68,10.1,-1,-77.0937146780341,39.3444186284961,-119.8,11.158,14.4745813404482
7,69,10.25,-1,-76.7940816589759,40.5242741919783,-99,10.566,14.2612740709161
7,70,10.4,-1,-75.4454562512024,45.8805675295111,-114,3.52,14.0273698143557
7,71,10.55,-1,-75.9925368755163,42.1065479218107,-115,3.616,13.7753780270114
7,72,10.7,-1,-77.1037192904189,43.9048725896497,-112.2,0.0760000000000076,13.515893653197
7,73,10.85,-1,-76.807925838623,44.7368386936469,-105.6,7.55700000000002,13.2500180510524
7,74,11,-1,-76.0607120354149,48.7586903485357,-122,7.973,12.9787075291383
7,75,11.15,-1,-77.0788449508568,45.4576151038686,-114.8,0.0840000000000032,12.7028926570088
7,76,11.3,-1,-77.6118239219616,45.3733030720594,-117,1.26899999999999,12.4086109088434
7,77,11.45,-1,-77.0574420618239,46.5307545476613,-120.2,3.63500000000001,12.1093617801834
7,78,11.6,-1,-76.5945879596419,44.5100576776798,-117.4,0.0130000000000052,11.808314890157
7,79,11.75,-1,-77.0071489303268,45.0071400001655,-122.2,4.00200000000001,11.5061036456067
7,80,11.9,-1,-77.4328898331496,44.6906608247551,-117.6,1.39600000000002,11.2033517744828
7,81,12.05,-1,-77.6232831147474,44.3723230318163,-119.8,0.0179999999999865,10.900756914253
7,82,12.2,-1,-77.0300099810222,45.2054370770005,-120.6,0.0439999999999969,10.8129936150044
7,83,12.35,-1,-76.4903407014932,46.5321211088622,-123.6,2.282,11.1046624461193
7,84,12.5,-1,-76.1484202942956,44.1921439698294,-122,0.0670000000000073,11.3875406273909
7,85,12.65,-1,-76.3611320817975,45.5688592947918,-122.8,0.00500000000000966,11.661495484965
7,86,12.8,-1,-75.9361233752877,43.580662598941,-121.4,2.13,11.9264545620317
7,87,12.95,-1,-77.1688731150182,42.6654872416673,-124.2,0.0439999999999969,12.1824016760993
7,88,13.1,-1,-77.2049451032561,41.4606254320136,-128.6,3.654,12.4293725718046
8,64,9.5,-1.15,-118.425806628391,-7.48088115099873,-120.4,30.4,14.62000747157
8,65,9.65,-1.15,-76.8011939841945,36.2501320126792,-76,30.085,14.9924003072283
8,66,9.8,-1.15,-76.9238892332506,38.8167304876722,-99,8.053,14.8093803008199
8,67,9.95,-1.15,-76.0725439190496,40.1869719130703,-108,0.0120000000000005,14.6122513773376
8,68,10.1,-1.15,-76.5192698117407,44.3958583961049,-103,5.961,14.4024991102771
8,69,10.25,-1.15,-75.0468624130561,41.5026180907739,-115,5.102,14.181526777082
